Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/AGilbertoHdez/statuses/1531734455332872196,AGilbertoHdez,5/31/2022 4:28 pm,"rthur_013 Jojojo, la buena noticia es que los resentidos y odiadores (ustedes) ya no gobiernan",Mention,Text Only,709,0,"Colonia Lindavista, México, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/asleysolis/statuses/1531734035122245635,asleysolis,5/31/2022 4:27 pm,"Luego se enojan cuando se les dice racistas | QT: Una preguntita Disney, nmas pa saber … entonces todos los personajes van a ser negros ya vdd",Message,Text Only,894,0,"Guadalajara, Jalisco, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/tv/CePFPbBBoOZ/,,5/31/2022 4:23 pm,"La dualidad animalidad/humanidad es una construcción arcaica y eurocéntrica definida por las sociedades de 1700, quienes definieron la animalidad como todo aquello que es despreciable para la moral y así separarnos como especie y también por razas con una intención supremacista de la blanquitud. Esta concepción debe desaparecer junto con la percepción humana instrumentalista y fascista sobre el resto de lxs animales.

Reflexionemos juntxs sobre la animalidad y cómo es que hemos convertido la palabra ""animal"" en un adjetivo y un significante carente de vida, resultando en la reproducción de la violencia hacia lxs demás animales.

Escucha esta cápsula completa, compártela y cuéntanos ¿Ya habías reflexionado al respecto?

ciudadana660 
brigadaanimalmexico 

#Veganismo #antiespecismo #racismo #especie #raza #animalidad #humanidad #animales #antropocentrismo #interseccionalidad",Message,Video,0,4,,4,0,0,0,
Twitter,https://twitter.com/DIVERSIDADSEX21/statuses/1531728374128947201,DIVERSIDADSEX21,5/31/2022 4:04 pm,Seguimos capacitando y sensibilizado al cuerpo se seguridad Ciudadana de la @Alc_Iztapalapa para prevenir Actos de Discriminación por LGBTFObias  #IztapalapaConDerechosPlenos @COPRED_CDMX https://t.co/c7Atjfr58g,Message,Photo,782,6,"Iztapalapa, Mexico City, Mexico",5,0,0,1,
Twitter,https://twitter.com/adriangatillo/statuses/1531728046407168000,adriangatillo,5/31/2022 4:03 pm,"Oigan si!… En que clase de país vivimos!? 

Calderón en Mónaco, peña en España con visa dorada???🤬

Los únicos que quedamos como pendejos somos los que creímos que algo de eso cambiaría votando por un pendejo cuya única virtud era ser un resentido | QT: No me molesta que Checo festeje junto con un expresidente mexicano su triunfo. Me molesta que ese expresidente esté en Mónaco en vez de estar en la cárcel.",Message,Text Only,1394,0,"Cuautitlan Izcalli, México, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/futurociudadano/statuses/1531727608957632512,futurociudadano,5/31/2022 4:01 pm,"Cómo los refleja Reforma; su clasismo de siempre. | QT: En debate en la Permanente, la senadora panista @LillyTellez llamó varias veces ""changoleón"" al diputado @fernandeznorona 👇 https://t.co/oiL5scuYms",Message,Text Only,940,0,"Las Delicias, Baja California, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/p/CePCqLDpqBQ/,,5/31/2022 3:59 pm,"El Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo (INADI)  presentará hoy  la tercera edición del estudio que refleja las formas en que se expresa la discriminación en nuestro país.

Karina Iummato,  Coordinadora de Investigaciones y Observatorios del INADI, en comunicación con Así Somos, brindó detalles sobre el relevamiento realizado junto a 23 Universidades de todo el país.

Nota completa 👇
https://www.radionacional.com.ar/presentan-el-nuevo-mapa-nacional-de-la-discriminacion/ 

#inadi #mapadediscriminación ##xenofobia ##racismo #KarinaLummato #AsíSomos #NacionalComodoro",Message,Photo,0,3,,3,0,0,0,
Twitter,https://twitter.com/alexser04535932/statuses/1531723690970427393,alexser04535932,5/31/2022 3:46 pm,"carla_ponti No se te ocurra Carlita, pobesito luego por eso andan de resentidos; ve lo que le pasó al Kk’s 😂🤣😂🤣",Mention,Text Only,1512,0,"Iztapalapa, Mexico City, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/Whata77/statuses/1531722357605212160,Whata77,5/31/2022 3:40 pm,"Que procede cuando una cerveceria te bloquea ?? @cervezaindio @CervezaTecate  , namas porque dije que la indio y la tkt sabian mejor… mentiras no dije #logrodesbloqueado https://t.co/BPF8BNrCxl",Message,Photo,983,0,"Monterrey, Nuevo León, Mexico",0,0,0,0,Origen cultural
Twitter,https://twitter.com/varamburucano/statuses/1531721869895909378,varamburucano,5/31/2022 3:38 pm,"Que no les digan, que no les cuenten los señoritingos 🧓🏻👴🏻🧑🏻‍🦲de los medios hegemónicos que el racismo en México no existe.

¡Cómo estarán esos medios que los únicos sabores que nos ofrecen es un rancio liberalismo🤢 o el fascismo racista🤮! | QT: Los únicos que creen que el racismo no existe en México, SON LOS RACISTAS. 🫠

Lo degustamos en la mesa de @varamburucano con @LaMZapata, @xolmarie y @taloaria.

⏰22:00h
▶️@Capital_21 y redes sociales https://t.co/YRmG2fkHwJ",Message,Text Only,7526,14,"Colonia del Valle, Mexico City, Mexico",9,0,0,5,
Twitter,https://twitter.com/varamburucano/statuses/1531721236916625409,varamburucano,5/31/2022 3:36 pm,"Que no les digan, que no les cuenten los señoritingos 🧓🏻👴🏻🧑🏻‍🦲de los medios hegemónicos que el racismo en México no existe. | QT: Los únicos que creen que el racismo no existe en México, SON LOS RACISTAS. 🫠

Lo degustamos en la mesa de @varamburucano con @LaMZapata, @xolmarie y @taloaria.

⏰22:00h
▶️@Capital_21 y redes sociales https://t.co/YRmG2fkHwJ",Message,Text Only,7526,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/varamburucano/statuses/1531718080942030849,varamburucano,5/31/2022 3:23 pm,"Battle Royal de los titanes™ de la fachiza negacionista 🤼🎪🍿🎟️🍻

¡No se pierdan HOY @EconomiaSazon en donde @LaMZapata, @taloaria y @xol nos hablarán, en serio, acerca del racismo EXISTENTE en México!

10 de la noche por @Capital_21 https://t.co/EWjJFNE5Rc",Message,Photo,7527,63,"Colonia del Valle, Mexico City, Mexico",46,0,8,9,
Twitter,https://twitter.com/eivarinn/statuses/1531717011201527808,eivarinn,5/31/2022 3:19 pm,LillyTellez nos muestra una vez más el clasismo de @AccionNacional es como los que viven en insurgentes sur y Polanco 😜,Mention,Text Only,75,0,"Casa Blanca, Puebla, Mexico",0,0,0,0,
